c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2
2,2,6,6,3,9.19013145539426,10.6227099588501,19.7391645057387
2,2,6,6,3,9.19013145539426,10.6227099588501,19.7391645057387
2,2,6,6,3,9.19013145539426,10.6227099588501,19.7391645057387
1,2,6,6,3,9.38049718485288,10.4762085679717,19.8169507861714
2,2,7,7,3,7.80227002710607,12.0015640158095,18.3287290255573
3,2,5,5,3,10.5122025994256,9.52561892080209,21.1246301742776
2,2,6,6,3,9.19013145539426,10.6227099588501,19.7391645057387
5,1,3,3,3,13.551443272175,7.91347108925226,24.0899755723604
3,2,6,6,3,9.10622341587452,10.8596955657174,19.7118667890104
2,3,5,5,3,10.5357571222603,9.46317515250691,21.1300915575577
2,2,6,6,3,9.19013145539426,10.6227099588501,19.7391645057387
3,2,5,5,3,10.5122025994256,9.52561892080209,21.1246301742776
3,3,5,5,3,10.4626462652454,9.72844822555135,21.1045930108554
3,3,6,6,3,9.04897056466111,11.0380377256536,19.6903920342267
3,4,6,6,3,9.10189165285903,11.3023699234206,19.7196699925578
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
5,2,13,13,0,2.18430589061265,20.8922002979705,10.0278458458281
6,5,14,14,0,4.0662725567103,22.9016700988185,9.12414379544732
4,1,7,7,3,7.92744799165437,12.4223303608099,18.4020274802701
2,5,13,13,0,2.50170265367951,20.8068939949855,10.062305898749
5,5,9,9,3,5.47588136566228,16.0442392348877,15.7095022689601
5,2,13,13,0,2.18430589061265,20.8922002979705,10.0278458458281
2,2,12,12,0,1.72044314585845,18.9740717455208,11.2907382057494
3,2,17,17,2,6.59615193827274,26.0975914462039,4.23583612670598
2,3,10,10,0,3.61755237439787,16.2950772856597,14.0719305985082
6,3,12,12,0,2.789201127203,19.9069026043204,11.5899492266758
4,3,11,11,0,2.10550802770996,18.0251812063502,12.6559502576091
2,3,9,9,3,4.96686860839513,14.9108675733474,15.4826205295337
6,6,10,10,3,5.27518058950916,17.9334741348443,14.6687789854192
5,7,13,13,0,4.42425238036593,21.8176643698396,10.7854959587829
7,8,10,10,3,7.08614463194846,18.9871296820009,15.440331801935
8,3,13,13,0,4.80896265334115,21.9011959736001,10.9763732275633
3,3,10,10,0,3.39874593253247,16.4505490685214,14.0336134937623
8,2,9,9,3,6.81894073791124,16.702538974607,16.2510354699679
4,2,11,11,0,2.33935903068969,17.9165250109743,12.6893353162895
