c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,x_block_coordinate,y_block_coordinate,objectid,codmanzana,codsector,codsubsector,x_centroid_coordinate,y_centroid_coordinate,x_true_centroid_coordinate,y_true_centroid_coordinate,block_area,block_length,c1_length,c2_length,l1_length,l2_length,block_apexes_number,rectangular_form,square_form,is_multipart
2,2,18,18,775362.7,8.989394e+06,6656,102545,10,102,775362.7,8.989394e+06,775362.7,8.989394e+06,4494.952,297.28082,42.24777,106.081825,42.254787,106.69644,4,t,f,f
2,2,20,20,775542.1,8.989445e+06,6657,102546,10,102,775542.1,8.989445e+06,775542.1,8.989445e+06,4576.7,316.14886,37.414684,119.466675,38.95013,120.31738,4,t,f,f
2,2,15,15,775482.56,8.989398e+06,6658,102547,10,102,775482.56,8.989398e+06,775482.56,8.989398e+06,3366.3315,255.21358,36.75447,90.49107,37.836395,90.13164,4,t,f,f
2,2,18,18,775441.44,8.989294e+06,6659,102527,10,102,775441.44,8.989294e+06,775441.44,8.989294e+06,3081.48,242.50229,36.395485,84.96614,36.113693,85.02698,4,t,f,f
2,2,18,18,775408.6,8.989328e+06,6660,102528,10,102,775408.6,8.989328e+06,775408.6,8.989328e+06,3057.0774,242.07101,35.916763,84.95016,35.921894,85.282196,4,t,f,f
2,2,15,15,775515.06,8.989362e+06,6661,102548,10,102,775515.06,8.989362e+06,775515.06,8.989362e+06,3457.5781,257.57553,38.06839,90.10181,38.328938,91.07639,4,t,f,f
1,1,-1,-1,775429.5,8.989135e+06,6662,102471,10,102,775429.5,8.989135e+06,775429.5,8.989135e+06,8914.791,381.72415,81.44849,109.28745,81.70323,109.28498,4,t,f,f
2,2,17,17,775235.7,8.988763e+06,6663,102375,10,102,775235.7,8.988763e+06,775235.7,8.988763e+06,5002.8955,322.34012,42.107536,119.31261,41.837883,119.08209,4,t,f,f
2,2,14,14,775319.94,8.988673e+06,6664,102350,10,102,775319.94,8.988673e+06,775319.94,8.988673e+06,4145.7866,280.57394,42.23488,97.84214,42.400402,98.096535,4,t,f,f
2,2,16,16,775365.25,8.988753e+06,6665,102373,10,102,775365.25,8.988753e+06,775365.25,8.988753e+06,4724.3086,308.61996,42.26547,112.10155,41.94871,112.30425,4,t,f,f
2,2,16,16,775402.75,8.988712e+06,6666,102351,10,102,775402.75,8.988712e+06,775402.75,8.988712e+06,4681.9043,307.78583,42.10027,112.102615,41.43335,112.14958,4,t,f,f
2,2,12,12,775720.25,8.988934e+06,6667,102441,10,102,775720.25,8.988934e+06,775720.25,8.988934e+06,2627.5444,217.19408,35.8433,72.00496,36.94189,72.40392,4,t,f,f
2,2,12,12,775659.9,8.988877e+06,6668,102411,10,102,775659.9,8.988877e+06,775659.9,8.988877e+06,2564.942,215.74316,35.908573,72.19637,34.87298,72.765236,4,t,f,f
2,2,12,12,775694.2,8.988842e+06,6669,102401,10,102,775694.2,8.988842e+06,775694.2,8.988842e+06,2703.439,219.2957,35.89218,72.166824,39.028065,72.208626,4,t,f,f
2,2,16,16,775456.56,8.988838e+06,6670,102399,10,102,775456.56,8.988838e+06,775456.56,8.988838e+06,4770.744,309.39902,41.672653,111.934235,43.430195,112.36193,4,t,f,f
2,2,16,16,775493.94,8.988797e+06,6671,102371,10,102,775493.94,8.988797e+06,775493.94,8.988797e+06,4717.279,308.62448,41.748295,112.300476,42.262516,112.313194,4,t,f,f
2,2,14,14,775540.06,8.988879e+06,6672,102412,10,102,775540.06,8.988879e+06,775540.06,8.988879e+06,4188.8833,281.21323,44.060364,96.10459,42.147865,98.90041,4,t,f,f
